"","DEG","up.results_LC_RC_padj.1","down.results_LC_RC_padj.1"
"1","Down",NA,"Cladocopium_Davies_comp102614_c0_seq1_Symbiont"
"2","Down",NA,"Cladocopium_Davies_comp102813_c0_seq1_Symbiont"
"3","Down",NA,"Cladocopium_Davies_comp104318_c0_seq2_Symbiont"
"4","Down",NA,"Cladocopium_Davies_comp107882_c0_seq1_Symbiont"
"5","Down",NA,"Cladocopium_Davies_comp110657_c0_seq2_Symbiont"
"6","Down",NA,"Cladocopium_Davies_comp111068_c0_seq1_Symbiont"
"7","Down",NA,"Cladocopium_Davies_comp111264_c0_seq1_Symbiont"
"8","Down",NA,"Cladocopium_Davies_comp111274_c0_seq1_Symbiont"
"9","Down",NA,"Cladocopium_Davies_comp111515_c0_seq2_Symbiont"
"10","Down",NA,"Cladocopium_Davies_comp111786_c0_seq1_Symbiont"
"11","Down",NA,"Cladocopium_Davies_comp112203_c0_seq1_Symbiont"
"12","Down",NA,"Cladocopium_Davies_comp112387_c0_seq1_Symbiont"
"13","Down",NA,"Cladocopium_Davies_comp113365_c0_seq2_Symbiont"
"14","Down",NA,"Cladocopium_Davies_comp113493_c0_seq1_Symbiont"
"15","Down",NA,"Cladocopium_Davies_comp113497_c0_seq1_Symbiont"
"16","Down",NA,"Cladocopium_Davies_comp113505_c0_seq1_Symbiont"
"17","Down",NA,"Cladocopium_Davies_comp113506_c0_seq1_Symbiont"
"18","Down",NA,"Cladocopium_Davies_comp113512_c0_seq1_Symbiont"
"19","Down",NA,"Cladocopium_Davies_comp113541_c0_seq1_Symbiont"
"20","Down",NA,"Cladocopium_Davies_comp113543_c0_seq1_Symbiont"
"21","Down",NA,"Cladocopium_Davies_comp113544_c0_seq1_Symbiont"
"22","Down",NA,"Cladocopium_Davies_comp113556_c0_seq1_Symbiont"
"23","Down",NA,"Cladocopium_Davies_comp113604_c0_seq1_Symbiont"
"24","Down",NA,"Cladocopium_Davies_comp113605_c0_seq1_Symbiont"
"25","Down",NA,"Cladocopium_Davies_comp113612_c0_seq1_Symbiont"
"26","Down",NA,"Cladocopium_Davies_comp113619_c0_seq2_Symbiont"
"27","Down",NA,"Cladocopium_Davies_comp113620_c0_seq1_Symbiont"
"28","Down",NA,"Cladocopium_Davies_comp113650_c0_seq1_Symbiont"
"29","Down",NA,"Cladocopium_Davies_comp113657_c0_seq1_Symbiont"
"30","Down",NA,"Cladocopium_Davies_comp113666_c0_seq1_Symbiont"
"31","Down",NA,"Cladocopium_Davies_comp113683_c0_seq1_Symbiont"
"32","Down",NA,"Cladocopium_Davies_comp113689_c0_seq1_Symbiont"
"33","Down",NA,"Cladocopium_Davies_comp113702_c0_seq1_Symbiont"
"34","Down",NA,"Cladocopium_Davies_comp113704_c0_seq1_Symbiont"
"35","Down",NA,"Cladocopium_Davies_comp113705_c0_seq1_Symbiont"
"36","Down",NA,"Cladocopium_Davies_comp113706_c0_seq1_Symbiont"
"37","Down",NA,"Cladocopium_Davies_comp113710_c0_seq1_Symbiont"
"38","Down",NA,"Cladocopium_Davies_comp113712_c0_seq1_Symbiont"
"39","Down",NA,"Cladocopium_Davies_comp113719_c0_seq2_Symbiont"
"40","Down",NA,"Cladocopium_Davies_comp113725_c0_seq1_Symbiont"
"41","Down",NA,"Cladocopium_Davies_comp113728_c0_seq1_Symbiont"
"42","Down",NA,"Cladocopium_Davies_comp113736_c0_seq2_Symbiont"
